"Time (s)","Volts (mV)","Power (mW)","Remaining %"
"98","4168","9702","75"
"104","4163","8390","74"
"109","4155","8330","73"
"114","4166","8269","72"
"119","4153","7987","70"
"124","4151","8468","69"
"129","4148","8316","67"
"134","4130","8306","67"
"139","4148","8521","67"
"145","4153","8451","67"
"150","4146","8299","67"
"155","4146","8834","67"
"160","4143","8333","67"
"165","4148","8168","67"
"170","4105","8306","65"
"175","4146","8868","65"
"180","4150","8252","65"
"186","4146","9046","65"
"191","4156","8279","62"
"196","4140","8962","62"
"201","4148","8575","62"
"206","4129","8831","62"
"211","4119","8168","62"
"216","4146","8532","62"
"221","4113","8256","62"
"226","4134","8720","62"
"232","4122","8424","62"
"237","4109","8831","62"
"242","4115","8367","62"
"247","4101","9077","62"
"252","4102","8427","62"
"257","4110","8488","62"
"262","4089","8565","62"
"267","4112","8484","62"
"273","4099","8333","60"
"278","4094","8272","60"
"283","4115","8081","60"
"288","4109","8269","60"
"293","4097","8495","60"
"298","4117","8316","60"
"303","4089","8098","60"
"308","4094","8461","60"
"314","4102","8400","60"
"319","4086","8316","59"
"324","4115","8262","59"
"329","4080","8013","59"
"334","4097","8047","59"
"339","4070","8003","59"
"344","4097","8609","59"
"349","4099","8636","59"
"355","4121","8659","59"
"360","4096","8192","59"
"365","4101","9083","57"
"370","4109","8256","57"
"375","4102","8865","57"
"380","4102","8256","57"
"385","4091","8841","57"
"390","4065","8484","57"
"396","4076","9093","57"
"401","4096","8037","57"
"406","4084","8969","57"
"411","4097","8013","57"
"416","4081","8545","57"
"421","4073","8505","57"
"426","4072","8279","57"
"431","4084","8256","57"
"437","4081","8333","57"
"442","4091","8256","57"
"447","4088","8269","57"
"452","4097","8010","57"
"457","4091","8340","57"
"462","4096","8538","57"
"467","4080","8478","56"
"472","4115","8357","56"
"477","4123","8484","56"
"483","4112","8003","56"
"488","4095","8289","56"
"493","4121","8484","56"
"498","4089","8313","56"
"503","4099","8272","56"
"508","4092","8478","56"
"513","4116","8780","56"
"518","4103","7987","56"
"524","4086","9073","56"
"529","4094","8013","56"
"534","4082","9023","56"
"539","4094","8545","56"
"544","4100","8797","56"
"549","4094","8286","56"
"554","4110","8774","56"
"559","4107","8256","56"
"564","4095","9063","56"
"570","4121","8252","56"
"575","4089","8834","56"
"580","4095","8192","56"
"585","4091","8996","56"
"590","4071","8256","56"
"595","4066","8666","56"
"600","4073","8461","56"
"605","4055","8256","56"
"611","4076","8545","56"
"616","4076","8229","54"
"621","4050","8252","54"
"626","4058","8424","54"
"631","4065","8622","54"
"636","4058","8360","54"
"641","4076","8468","54"
"646","4082","7849","54"
"652","4076","8246","54"
"657","4065","8306","54"
"662","4082","8360","54"
"667","4082","8202","54"
"672","4079","8195","54"
"677","4089","8316","54"
"682","4061","8131","54"
"687","4052","8219","54"
"693","4078","9066","54"
"698","4073","7872","54"
"703","4073","9046","54"
"708","4063","8246","54"
"713","4072","8787","52"
"718","4050","8367","52"
"723","4045","9231","52"
"728","4055","8246","52"
"734","4047","8817","52"
"739","4048","8239","52"
"744","4060","8770","52"
"749","4042","8400","51"
"754","4050","9127","51"
"759","4056","8390","51"
"764","4079","8831","51"
"769","4061","8575","51"
"775","4044","8256","51"
"780","4064","8246","51"
"785","4047","8427","51"
"790","4063","7953","51"
"795","4016","8558","51"
"800","4055","8394","51"
"805","4037","8151","51"
"810","4045","8168","51"
"816","4044","8693","51"
"821","4045","8488","51"
"826","4060","8225","51"
"831","4072","8202","51"
"836","4058","7950","51"
"841","4076","8390","51"
"846","4061","8360","51"
"851","4053","8848","51"
"856","4055","8545","51"
"862","4066","9110","51"
"867","4082","8367","51"
"872","4072","8538","51"
"877","4069","8394","51"
"882","4076","9046","51"
"887","4089","7966","51"
"892","4053","8848","51"
"897","4045","8400","51"
"903","4060","9040","51"
"908","4061","8279","51"
"913","4071","8848","51"
