"Time (s)","Volts (mV)","Power (mW)","Remaining %"
"10326","4167","9420","73"
"10332","4187","8885","71"
"10337","4172","7822","71"
"10342","4178","7832","71"
"10347","4164","9201","71"
"10352","4161","8286","71"
"10357","4159","7805","71"
"10362","4177","7889","71"
"10367","4165","8394","71"
"10372","4156","8195","71"
"10378","4149","8108","71"
"10383","4156","8209","71"
"10388","4164","8047","70"
"10393","4154","8373","67"
"10398","4167","8754","67"
"10403","4161","8165","67"
"10408","4146","8807","67"
"10413","4131","8209","67"
"10419","4162","8461","67"
"10424","4136","8108","67"
"10429","4146","8817","67"
"10434","4135","8484","67"
"10439","4148","8989","67"
"10444","4149","8054","67"
"10449","4122","8895","67"
"10454","4148","8558","67"
"10460","4143","8929","67"
"10465","4179","8515","67"
"10470","4164","8757","67"
"10475","4169","8151","67"
"10480","4162","8357","67"
"10485","4161","8373","67"
"10490","4162","8054","67"
"10495","4162","7976","67"
"10501","4154","8407","67"
"10506","4165","8330","67"
"10511","4144","8347","67"
"10516","4182","8424","67"
"10521","4131","8952","67"
"10526","4152","8212","67"
"10531","4159","8229","67"
"10536","4131","8925","67"
"10542","4141","8225","67"
"10547","4146","8131","67"
"10552","4146","8020","67"
"10557","4143","8505","67"
"10562","4131","8219","63"
"10567","4154","8918","63"
"10572","4156","8135","63"
"10577","4131","8892","63"
"10582","4142","8272","63"
"10588","4160","9023","63"
"10593","4142","8135","63"
"10598","4137","8730","63"
"10603","4134","8040","63"
"10608","4134","8626","63"
"10613","4158","9625","63"
